family	vocab_total	fired	mass	mass_pct
family:Latn	88240	83252	758044015	75.40272050070642
substrate	4017	2706	245756611	24.445436786983713
unknown_standalone	2435	1291	620773	0.06174835773010493
family:Han	5102	3778	303442	0.03018340869583326
family:Cyrl	7548	6062	165802	0.016492342947207528
no_script_admits	232	171	120630	0.011999079201225823
family:Grek	1500	1301	118472	0.011784422706852572
family:Hang	4439	2324	43144	0.004291538365727323
family:Arab	9341	4474	35729	0.0035539675104086666
family:Deva	1529	1225	30400	0.00302389130164358
family:Hebr	961	851	28943	0.0028789633534036228
family:Thai	560	504	25446	0.0025311163836060045
family:Beng	810	552	8370	0.0008325648090380514
family:Armn	1089	537	4535	0.0004510969425313696
family:Taml	525	388	4233	0.0004210569697321471
family:Geor	480	364	3868	0.00038475038009070284
family:Mlym	377	294	3275	0.0003257646056869317
family:Mymr	110	108	3018	0.0003002007877750107
family:Telu	900	340	2169	0.00021575066556792514
family:Guru	148	137	1945	0.0001934693612400251
family:Knda	548	308	1458	0.0001450274183485638
family:Gujr	180	118	804	0.00007997396731978416
mixed_scripts	1	1	60	5.968206516401802e-6
