cutoff_kind	param	tokens	cum_mass	pct_of_latin	pct_of_total
rank	10	10	144537773	19.0672	14.3772
rank	100	100	253248465	33.4081	25.1907
rank	500	500	359798711	47.4641	35.7892
rank	1000	1000	418362137	55.1897	41.6145
rank	2500	2500	505947773	66.7439	50.3267
rank	5000	5000	577444863	76.1756	57.4385
rank	10000	10000	646704074	85.3122	64.3277
rank	20000	20000	708104597	93.4121	70.4352
rank	50000	50000	756221249	99.7595	75.2214
rank	83252	83252	758044015	100.0000	75.4027
count	1	83252	758044015	100.0000	75.4027
count	5	75666	758027280	99.9978	75.4011
count	10	71406	757998471	99.9940	75.3982
count	100	56776	757445347	99.9210	75.3432
count	1000	38643	749382520	98.8574	74.5412
count	10000	9614	642927565	84.8140	63.9521
count	100000	890	407939164	53.8147	40.5778
count	1000000	45	218064955	28.7668	21.6909
