token_id	decoded	count_de	count_en	ratio_de_over_en	popcount	family
1044	','	35709518	38511347	0.927	55	substrate
1046	'.'	23588152	20821847	1.133	55	substrate
1278	'the'	400191	38763713	0.010	28	family:Latn
1032	''	10224864	26039657	0.393	55	substrate
1049	'1'	7607544	21120500	0.360	55	substrate
1294	'in'	8769377	15929235	0.551	28	family:Latn
1048	'0'	7325512	16084909	0.455	55	substrate
1307	'of'	360809	22416047	0.016	28	family:Latn
1050	'2'	5667471	14136187	0.401	55	substrate
1321	'and'	271816	18681310	0.015	28	family:Latn
1728	'der'	15832409	44919	352.466	28	family:Latn
1828	'die'	15528985	22965	676.202	28	family:Latn
1057	'9'	3057095	12423393	0.246	55	substrate
1673	'und'	15232146	48660	313.032	28	family:Latn
1010	'\n'	5146086	9317132	0.552	55	substrate
1317	'to'	203243	12950594	0.016	28	family:Latn
1261	'a'	261483	12352702	0.021	28	family:Latn
1319	'('	3113794	7931692	0.393	55	substrate
1626	'.\n'	8696430	1126874	7.717	55	substrate
1056	'8'	2059953	6422554	0.321	55	substrate
1486	'was'	794318	7545553	0.105	27	family:Latn
1051	'3'	2719549	5561481	0.489	55	substrate
1053	'5'	2561677	5231192	0.490	55	substrate
1052	'4'	2289924	5009784	0.457	55	substrate
1338	'.\n\n'	1298	7169837	0.000	55	substrate
2829	'zu'	7159069	3917	1827.692	28	family:Latn
1054	'6'	1899771	4927630	0.386	55	substrate
1055	'7'	1802618	5014706	0.359	55	substrate
2421	'von'	6371669	55501	114.803	28	family:Latn
2220	'den'	5880472	15923	369.307	28	family:Latn
1395	'is'	99065	5534061	0.018	28	family:Latn
1045	'-'	3967063	1640018	2.419	55	substrate
3444	'ist'	5459959	2043	2672.520	28	family:Latn
1262	'en'	5049693	296383	17.038	28	family:Latn
1420	'an'	2994049	2341222	1.279	28	family:Latn
1394	'for'	118817	5203969	0.023	28	family:Latn
1435	'as'	62086	5160589	0.012	28	family:Latn
1058	':'	3008981	2153543	1.397	55	substrate
2635	'mit'	4901281	5265	930.918	28	family:Latn
2836	'das'	4807795	4085	1176.939	28	family:Latn
1408	'on'	67577	4728186	0.014	28	family:Latn
1041	')'	1782802	3003906	0.593	55	substrate
2987	'auf'	4698056	2236	2101.098	28	family:Latn
1536	'by'	41937	4534412	0.009	28	family:Latn
1454	'with'	49410	4420994	0.011	27	family:Latn
1531	'The'	163309	4276590	0.038	28	family:Latn
1429	'"'	1207765	3076864	0.393	55	substrate
1681	"'s"	81832	4176633	0.020	28	family:Latn
1563	'des'	4058862	54148	74.959	28	family:Latn
3736	'eine'	3935164	786	5006.570	28	family:Latn
2198	'ein'	3911472	1695	2307.653	28	family:Latn
3320	'sich'	3823046	511	7481.499	28	family:Latn
3608	'für'	3764749	8412	447.545	9	family:Latn
1455	'that'	54211	3608567	0.015	28	family:Latn
6441	'Sie'	3640577	4233	860.047	28	family:Latn
4041	'nicht'	3600192	932	3862.867	28	family:Latn
1562	'from'	38055	3249223	0.012	28	family:Latn
2292	'dem'	3258760	21527	151.380	28	family:Latn
1602	'im'	3243585	23578	137.568	28	family:Latn
1513	'at'	50598	3168341	0.016	28	family:Latn
1851	'ung'	3106759	82913	37.470	28	family:Latn
1823	'es'	3120667	11391	273.959	28	family:Latn
1267	'\n\n'	19412	2906941	0.007	55	substrate
1034	'"'	820784	2050015	0.400	55	substrate
1794	'his'	16034	2729176	0.006	28	family:Latn
3303	'als'	2720902	1080	2519.354	28	family:Latn
1765	'er'	2710333	9909	273.522	28	family:Latn
3858	'sie'	2713034	1877	1445.410	28	family:Latn
5462	'dass'	2695885	156	17281.314	28	family:Latn
3558	'aus'	2533623	2538	998.275	28	family:Latn
5261	'werden'	2458160	177	13887.910	27	family:Latn
1514	'he'	185020	2229854	0.083	28	family:Latn
1784	'The'	72483	2333329	0.031	28	family:Latn
6183	'oder'	2403714	928	2590.209	28	family:Latn
4742	'auch'	2342270	240	9759.458	28	family:Latn
2869	'um'	2272748	8853	256.721	28	family:Latn
6287	'wird'	2102465	283	7429.205	27	family:Latn
1456	')\n'	320396	1770620	0.181	55	substrate
5989	'sind'	2086495	625	3338.392	28	family:Latn
1882	'–'	107336	1950235	0.055	55	substrate
2095	'also'	286424	1760752	0.163	28	family:Latn
1722	'were'	9943	1983481	0.005	27	family:Latn
1799	'which'	13549	1837221	0.007	27	family:Latn
1584	'are'	37566	1795957	0.021	28	family:Latn
1494	'it'	34983	1727822	0.020	28	family:Latn
