language	name	script	ground_truth_tokens	best_tau	best_F1	best_P	best_R
ell_Grek	Greek	Grek	1507	0.07017038286703829	0.9777925091150149	0.9768211920529801	0.9787657597876576
rus_Cyrl	Russian	Cyrl	7686	0.014251026703029985	0.6545361680393283	0.6425974677196942	0.6669268800416341
ukr_Cyrl	Ukrainian	Cyrl	7686	0.0028942661247167516	0.6370741238246428	0.6002070869765301	0.6787665886026542
cmn_Hani	Mandarin	Hani	3765	0.1	0.6573057138885028	0.6896149358226371	0.6278884462151394
arb_Arab	Arabic	Arab	9447	0.017012542798525893	0.8446831860451683	0.9295703025680142	0.7740023287816238
fas_Arab	Persian	Arab	9447	0.004124626382901352	0.534170619279845	0.7240130387540746	0.4232031332698211
heb_Hebr	Hebrew	Hebr	1002	0.0837677640068292	0.9746646795827124	0.9703264094955489	0.9790419161676647
hin_Deva	Hindi	Deva	1569	0.020309176209047358	0.9025247682965805	0.9051282051282051	0.89993626513703
mar_Deva	Marathi	Deva	1569	0.01193776641714437	0.8051300320627004	0.9127625201938611	0.7202039515615042
kor_Hang	Korean	Hang	4492	0.41246263829013524	0.966202353957456	0.9381421681694275	0.9959928762243989
tha_Thai	Thai	Thai	567	0.17012542798525893	0.943840579710145	0.9702048417132216	0.9188712522045855
