token_script	Grek	Cyrl	Hani	Arab	Hebr	Deva	Hang	Thai	Latn	Jpan	Kana	Ethi	Mymr	Sinh	Mlym	Other	row_total
Greek	1768172991	1739304	74020	89097	129769	9718	47017	25879	4957545	64296	30287	3497	11356	465	4214	332082	1775691537
Cyrillic	307385	11749960658	112340	446898	192908	163093	74537	183209	41945700	68679	90885	131244	146541	8797	9213	7713290	11801555377
Han	42160	449390	829964156	702437	26193	168188	1428274	852210	9320539	310810837	75594927	11892	241027	2513	3175	95426796	1325044714
Arabic	63837	8061822	25796	6849711274	554592	256198	19522	163953	51701385	36846	3243	745044	73825	84247	1298263	5363870	6918163717
Hebrew	104873	134661	5647	149964	1251161682	61992	6979	34342	1604104	6125	1147	11513	4774	150	916	29514	1253318383
Devanagari	3879	113876	5059	198812	6445	3003887826	3113	2910	23495273	12054	2007	100820	51512	2368	181374	15132240	3043199568
Hangul	176655	230793	97171	140965	8580	38053	773054844	43317	1903809	84447	5506757	37253	17880	503	2045	7120622	788463694
Thai	4512	45667	9062	41827	42393	7620	30546	1090626544	1616771	19779	4114	34720	27874	987	21718	360030	1092894164
Latin	41227001	281150776	35006275	92282326	20930644	46721328	34286691	34662907	49671051224	21462509	25080256	15452661	16680929	2989612	9765117	136261565	50485011821
Structural	99770305	853499586	111752627	381215354	79560848	130707568	63175846	26370798	3686713304	79942204	38354986	6662669	29486023	6106978	31352975	459296691	6083968762
Digit	44696953	322893958	37975395	186896876	19775838	62816822	49027776	32101182	1618788916	32887629	55805660	6616036	14095878	2553374	10571544	205926990	2703430827
Byte-frag	140118487	418255855	288631387	875072894	137379197	79682646	48296021	148462272	374012795	102607922	215563738	1342310808	683636533	972548136	82120844	7318461201	13227160736
Special	1024	1200	549	1092	455	180	2045	94	10836	392	3062	185	67	5	29	974	22189
Other	50875955	331895360	27433880	192881481	22740203	57319308	38992494	60464362	1534290597	454752471	600250683	8016780	413389444	62782524	877104611	8136382008	12869572161
